Cause,Type,Deaths,Group,Race
Firearm,Suicide,27300,Total,All
All,Suicide,49316,Total,All
Firearm,Suicide,23707,Male,All
All,Suicide,39046,Male,All
Firearm,Suicide,3593,Female,All
All,Suicide,10270,Female,All
Firearm,Suicide,21708,Total,White
All,Suicide,37217,Total,White
Firearm,Suicide,18795,Male,White
All,Suicide,29464,Male,White
Firearm,Suicide,2913,Female,White
All,Suicide,7753,Female,White
Firearm,Suicide,2317,Total,Black
All,Suicide,3911,Total,Black
Firearm,Suicide,2025,Male,Black
All,Suicide,3135,Male,Black
Firearm,Suicide,292,Female,Black
All,Suicide,776,Female,Black
Firearm,Suicide,236,Total,AIAN
All,Suicide,577,Total,AIAN
Firearm,Suicide,203,Male,AIAN
All,Suicide,430,Male,AIAN
Firearm,Suicide,33,Female,AIAN
All,Suicide,147,Female,AIAN
Firearm,Suicide,433,Total,Asian
All,Suicide,1407,Total,Asian
Firearm,Suicide,381,Male,Asian
All,Suicide,1005,Male,Asian
Firearm,Suicide,52,Female,Asian
All,Suicide,402,Female,Asian
Firearm,Suicide,40,Total,HNPI
All,Suicide,116,Total,HNPI
Firearm,Suicide,32,Male,HNPI
All,Suicide,92,Male,HNPI
Firearm,Suicide,0,Female,HNPI
All,Suicide,24,Female,HNPI
Firearm,Suicide,285,Total,Multi
All,Suicide,628,Total,Multi
Firearm,Suicide,246,Male,Multi
All,Suicide,466,Male,Multi
Firearm,Suicide,39,Female,Multi
All,Suicide,162,Female,Multi
Firearm,Suicide,2198,Total,Hispanic
All,Suicide,5281,Total,Hispanic
Firearm,Suicide,1949,Male,Hispanic
All,Suicide,4304,Male,Hispanic
Firearm,Suicide,249,Female,Hispanic
All,Suicide,977,Female,Hispanic
Firearm,Homicide,17927,Total,All
All,Homicide,22829,Total,All
Firearm,Homicide,14920,Male,All
All,Homicide,18267,Male,All
Firearm,Homicide,3007,Female,All
All,Homicide,4562,Female,All
Firearm,Homicide,3575,Total,White
All,Homicide,5447,Total,White
Firearm,Homicide,2556,Male,White
All,Homicide,3743,Male,White
Firearm,Homicide,1019,Female,White
All,Homicide,1704,Female,White
Firearm,Homicide,10352,Total,Black
All,Homicide,12008,Total,Black
Firearm,Homicide,9041,Male,Black
All,Homicide,10241,Male,Black
Firearm,Homicide,1311,Female,Black
All,Homicide,1767,Female,Black
Firearm,Homicide,202,Total,AIAN
All,Homicide,329,Total,AIAN
Firearm,Homicide,161,Male,AIAN
All,Homicide,258,Male,AIAN
Firearm,Homicide,41,Female,AIAN
All,Homicide,71,Female,AIAN
Firearm,Homicide,208,Total,Asian
All,Homicide,331,Total,Asian
Firearm,Homicide,142,Male,Asian
All,Homicide,198,Male,Asian
Firearm,Homicide,66,Female,Asian
All,Homicide,133,Female,Asian
Firearm,Homicide,31,Total,HNPI
All,Homicide,43,Total,HNPI
Firearm,Homicide,25,Male,HNPI
All,Homicide,32,Male,HNPI
Firearm,Homicide,0,Female,HNPI
All,Homicide,11,Female,HNPI
Firearm,Homicide,242,Total,Multi
All,Homicide,322,Total,Multi
Firearm,Homicide,183,Male,Multi
All,Homicide,232,Male,Multi
Firearm,Homicide,29,Female,Multi
All,Homicide,90,Female,Multi
Firearm,Homicide,3284,Total,Hispanic
All,Homicide,4288,Total,Hispanic
Firearm,Homicide,2784,Male,Hispanic
All,Homicide,3513,Male,Hispanic
Firearm,Homicide,500,Female,Hispanic
All,Homicide,775,Female,Hispanic
