Age,MaleLifeExp,MaleAgeDeath,MaleYearlyGain,FemaleLifeExp,FemaleAgeDeath,FemaleYearlyGain,MaleMinusFemaleGain
0,73.54,73.54,0.43,79.3,79.3,0.4,0.03
1,72.97,73.97,0.03,78.7,79.7,0.04,-0.01
2,72,74,0.02,77.74,79.74,0.01,0.01
3,71.02,74.02,0.02,76.75,79.75,0.02,0.00
4,70.04,74.04,0.01,75.77,79.77,0.01,0.00
5,69.05,74.05,0.01,74.78,79.78,0.01,0.00
6,68.06,74.06,0.01,73.79,79.79,0,0.01
7,67.07,74.07,0.01,72.79,79.79,0.01,0.00
8,66.08,74.08,0.01,71.8,79.8,0.01,0.00
9,65.09,74.09,0.01,70.81,79.81,0.01,0.00
10,64.1,74.1,0.00,69.82,79.82,0,0.00
11,63.1,74.1,0.01,68.82,79.82,0.01,0.00
12,62.11,74.11,0.01,67.83,79.83,0.01,0.00
13,61.12,74.12,0.02,66.84,79.84,0.01,0.01
14,60.14,74.14,0.02,65.85,79.85,0.01,0.01
15,59.16,74.16,0.02,64.86,79.86,0.02,0.00
16,58.18,74.18,0.04,63.88,79.88,0.02,0.02
17,57.22,74.22,0.05,62.9,79.9,0.02,0.03
18,56.27,74.27,0.06,61.92,79.92,0.02,0.04
19,55.33,74.33,0.07,60.94,79.94,0.03,0.04
20,54.4,74.4,0.07,59.97,79.97,0.03,0.04
21,53.47,74.47,0.08,59,80,0.03,0.05
22,52.55,74.55,0.09,58.03,80.03,0.04,0.05
23,51.64,74.64,0.08,57.07,80.07,0.04,0.04
24,50.72,74.72,0.10,56.11,80.11,0.04,0.06
25,49.82,74.82,0.09,55.15,80.15,0.04,0.05
26,48.91,74.91,0.10,54.19,80.19,0.04,0.06
27,48.01,75.01,0.11,53.23,80.23,0.05,0.06
28,47.12,75.12,0.11,52.28,80.28,0.05,0.06
29,46.23,75.23,0.11,51.33,80.33,0.05,0.06
30,45.34,75.34,0.12,50.38,80.38,0.06,0.06
31,44.46,75.46,0.11,49.44,80.44,0.06,0.05
32,43.57,75.57,0.12,48.5,80.5,0.06,0.06
33,42.69,75.69,0.13,47.56,80.56,0.06,0.07
34,41.82,75.82,0.12,46.62,80.62,0.07,0.05
35,40.94,75.94,0.12,45.69,80.69,0.07,0.05
36,40.06,76.06,0.13,44.76,80.76,0.07,0.06
37,39.19,76.19,0.13,43.83,80.83,0.08,0.05
38,38.32,76.32,0.13,42.91,80.91,0.07,0.06
39,37.45,76.45,0.13,41.98,80.98,0.09,0.04
40,36.58,76.58,0.14,41.07,81.07,0.08,0.06
41,35.72,76.72,0.14,40.15,81.15,0.09,0.05
42,34.86,76.86,0.14,39.24,81.24,0.09,0.05
43,34,77,0.15,38.33,81.33,0.09,0.06
44,33.15,77.15,0.15,37.42,81.42,0.1,0.05
45,32.3,77.3,0.15,36.52,81.52,0.1,0.05
46,31.45,77.45,0.16,35.62,81.62,0.11,0.05
47,30.61,77.61,0.16,34.73,81.73,0.11,0.05
48,29.77,77.77,0.17,33.84,81.84,0.11,0.06
49,28.94,77.94,0.18,32.95,81.95,0.12,0.06
50,28.12,78.12,0.18,32.07,82.07,0.13,0.05
51,27.3,78.3,0.20,31.2,82.2,0.13,0.07
52,26.5,78.5,0.20,30.33,82.33,0.14,0.06
53,25.7,78.7,0.21,29.47,82.47,0.15,0.06
54,24.91,78.91,0.23,28.62,82.62,0.15,0.08
55,24.14,79.14,0.23,27.77,82.77,0.16,0.07
56,23.37,79.37,0.24,26.93,82.93,0.17,0.07
57,22.61,79.61,0.26,26.1,83.1,0.17,0.09
58,21.87,79.87,0.26,25.27,83.27,0.19,0.07
59,21.13,80.13,0.28,24.46,83.46,0.19,0.09
60,20.41,80.41,0.29,23.65,83.65,0.21,0.08
61,19.7,80.7,0.30,22.86,83.86,0.21,0.09
62,19,81,0.31,22.07,84.07,0.22,0.09
63,18.31,81.31,0.32,21.29,84.29,0.23,0.09
64,17.63,81.63,0.32,20.52,84.52,0.23,0.09
65,16.95,81.95,0.34,19.75,84.75,0.24,0.10
66,16.29,82.29,0.34,18.99,84.99,0.24,0.10
67,15.63,82.63,0.35,18.23,85.23,0.25,0.10
68,14.98,82.98,0.35,17.48,85.48,0.26,0.09
69,14.33,83.33,0.36,16.74,85.74,0.26,0.10
70,13.69,83.69,0.37,16,86,0.27,0.10
71,13.06,84.06,0.37,15.27,86.27,0.29,0.08
72,12.43,84.43,0.39,14.56,86.56,0.29,0.10
73,11.82,84.82,0.39,13.85,86.85,0.31,0.08
74,11.21,85.21,0.41,13.16,87.16,0.33,0.08
75,10.62,85.62,0.43,12.49,87.49,0.34,0.09
76,10.05,86.05,0.44,11.83,87.83,0.36,0.08
77,9.49,86.49,0.46,11.19,88.19,0.38,0.08
78,8.95,86.95,0.47,10.57,88.57,0.39,0.08
79,8.42,87.42,0.50,9.96,88.96,0.42,0.08
80,7.92,87.92,0.51,9.38,89.38,0.43,0.08
81,7.43,88.43,0.53,8.81,89.81,0.45,0.08
82,6.96,88.96,0.54,8.26,90.26,0.47,0.07
83,6.5,89.5,0.57,7.73,90.73,0.48,0.09
84,6.07,90.07,0.58,7.21,91.21,0.51,0.07
85,5.65,90.65,0.61,6.72,91.72,0.54,0.07
86,5.26,91.26,0.62,6.26,92.26,0.56,0.06
87,4.88,91.88,0.65,5.82,92.82,0.59,0.06
88,4.53,92.53,0.68,5.41,93.41,0.61,0.07
89,4.21,93.21,0.69,5.02,94.02,0.63,0.06
90,3.9,93.9,0.72,4.65,94.65,0.66,0.06
91,3.62,94.62,0.74,4.31,95.31,0.68,0.06
92,3.36,95.36,0.78,3.99,95.99,0.72,0.06
93,3.14,96.14,0.80,3.71,96.71,0.74,0.06
94,2.94,96.94,0.82,3.45,97.45,0.77,0.05
95,2.76,97.76,0.84,3.22,98.22,0.79,0.05
96,2.6,98.6,0.85,3.01,99.01,0.81,0.04
97,2.45,99.45,0.87,2.82,99.82,0.84,0.03
98,2.32,100.32,0.88,2.66,100.66,0.84,0.04
99,2.2,101.2,0.89,2.5,101.5,0.85,0.04
100,2.09,102.09,0.89,2.35,102.35,0.86,0.03
